RESORT,ORDER_BY,NEXUS_ROOM_TYPE
84227,6,"SK,NTR"
44609,5,"SK,LTP"
76413,1,"K,WSM"
05691,14,"WK,BAQ"
44609,4,"QQ,MKE"
44609,2,"K,MKE"
44609,6,"SK,MKF"
34108,4,"K,LJB"
93427,4,"Q,KSG"
03150,6,"WSK,BAM"
84229,11,"T,SNN"
46015,2,"DD,ZZY"
46015,4,"K,AAF"
98323,6,"TT,DTC"
24091,6,"SQ,DWM"
04030,11,"QQ,DPU"
38115,3,"QQ,HHC"
38115,4,"K,EMK"
38115,2,"K,NIH"
38115,1,"Q,HHC"
38115,5,"QQ,PCF"
47132,4,"K,XJX"
38115,9,"SK,TTX"
38115,6,"SK,KVB"
05634,3,"DD,FWL"
32093,6,"WQQ,XQL"
05705,4,"SK,TNE"
36154,4,"S23,HAU"
36154,3,"SDD,HEN"
10399,2,"QQ,VYF"
01107,1,"K,WJG"
84231,1,"D,CNC"
84231,6,"TT,SNN"
99809,1,"TT,XGK"
99809,12,"SK,XHG"
38115,10,"SKK,KVB"
38115,8,"SQQ,EMK"
38115,7,"SK,IQW"
83646,1,"T,SNN"
83646,2,"TT,SNN"
83646,3,"D,SNN"
83920,1,"TT,SNN"
83920,2,"D,SNN"
23095,2,"QQ,COW"
83926,1,"T,SNN"
83926,2,"D,SNN"
83926,3,"TT,SNN"
83926,5,"DTT,FYN"
62129,3,"K,HMJ"
62129,13,"K,HSJ"
71022,8,"WQQ,BAQ"
99507,2,"TT,AAR"
41107,4,"K,AFY"
44696,6,"K,CQC"
63011,4,"K,ACG"
34084,1,"DD,OIP"
99507,4,"K,UUJ"
61041,2,"K,LEP"
61041,1,"QQ,LEP"
61041,3,"SQQ,LEP"
61041,4,"SQ,JEU"
78698,1,"K,UVF"
54047,7,"SK,XBB"
23095,6,"SK,JOR"
23095,1,"K,COW"
83536,1,"T,SNN"
83536,2,"TT,SNN"
83536,3,"D,SNN"
83536,5,"ST,NSK"
83536,6,"STT,NSK"
83536,4,"SD,NSK"
18051,2,"QQ,HNA"
50106,2,"K,NIH"
50106,6,"Q,IBG"
03136,1,"K,HBR"
03136,6,"SK,JMT"
03136,3,"SK,HLC"
03136,4,"QQ,HBR"
61041,5,"K,ODI"
61041,6,"SK,KOW"
46001,8,"QQ,BAM"
84227,3,"D,NXE"
56100,3,"D,NUP"
44587,10,"K,BAQ"
44587,11,"K,BAM"
56100,4,"D,NDX"
88230,7,"K,JGJ"
74023,2,"SQ,AHJ"
50121,5,"WQQ,BAM"
68028,3,"QQ,GEI"
44591,1,"K,LIG"
50121,2,"K,RBG"
05271,4,"QQ,NGL"
06164,5,"QQ,XCY"
66001,7,"QQ,SOT"
93855,1,"Q,AKM"
07021,4,"SQQ,EGP"
32090,5,"QQ,AOU"
32090,4,"K,AOV"
10308,7,"SK,AIK"
32090,11,"K,AOW"
06144,5,"SK,KIQ"
88175,7,"D,RAD"
04091,7,"K,CQC"
54047,11,"WQQ,BAQ"
28073,4,"SK,MUH"
32090,6,"K,APB"
38103,3,"SK,VQH"
38103,4,"SK,VQI"
30025,8,"QQ,EDY"
33175,5,"SK,CYP"
95180,6,"Q,CSU"
07021,3,"QQ,CRA"
07021,1,"Q,CRA"
07021,5,"QQ,BJP"
07021,6,"QQ,CQC"
92687,1,"Q,XCA"
92687,2,"K,XCF"
92687,3,"TTT,XDY"
83974,5,"A12,PPF"
88230,3,"T,AHB"
24113,11,"S14,FVG"
33107,4,"DD,ZSB"
26033,7,"SK,WOS"
10308,5,"QQ,AIL"
44665,5,"K,WSK"
44665,6,"SK,WSP"
44665,3,"K,WSQ"
44665,4,"DD,WSQ"
48144,8,"SKK,DSC"
42038,15,"SK,KGX"
42038,13,"SK,KGY"
44663,3,"SK,UJO"
44663,2,"K,WQU"
44663,5,"K,WQV"
44663,1,"QQ,WQU"
44663,6,"QQ,WQV"
03160,9,"WKS,OCI"
50144,13,"SK,GCL"
39111,3,"K,PMT"
24113,16,"QQ,BAM"
48167,11,"QQ,BJP"
48167,9,"Q,BJP"
42038,14,"SQQ,NIY"
42038,12,"SQQ,NIZ"
42038,5,"K,NIU"
05360,3,"QQ,NIH"
16073,2,"K,QML"
17140,4,"SK,XBS"
39142,2,"QQ,ZGX"
56001,2,"TT,JKQ"
44747,1,"K,RSY"
05685,1,"K,MMN"
05685,5,"K,MMK"
88149,4,"D,SGT"
78698,2,"TT,UVF"
78698,3,"K,UVG"
10225,4,"QQ,JHQ"
78698,4,"TT,UVG"
78698,5,"SK,UVP"
38142,2,"QQ,LIG"
38142,3,"K,XAK"
38142,4,"S23,ZNF"
05743,7,"WQQ,BJP"
05271,5,"K,PFA"
42022,2,"K,GAE"
07018,2,"K,GNC"
07018,1,"QQ,GNC"
31067,1,"Q,RCE"
31067,3,"K,RCE"
31067,5,"SK,MPC"
78031,2,"TT,HPC"
48070,8,"Q,BJP"
55015,3,"QQ,ALT"
97426,2,"A23,XWE"
48070,9,"QQ,BJP"
97426,4,"A34,XWI"
84227,5,"D,NSN"
97426,3,"A23,XXL"
51023,4,"K,TQG"
11224,3,"WK,BAQ"
56100,1,"T,SNN"
97463,2,"KT,AUX"
51023,1,"Q,TQF"
84217,9,"DTT,SNN"
99525,12,"DD,CVU"
07018,4,"K,HXC"
44696,5,"K,FWH"
48128,3,"Q,HBB"
44601,2,"SK,DHL"
88224,2,"Q,XVX"
88224,3,"TT,GHE"
48173,7,"QQ,SKL"
48173,1,"Q,YSQ"
48173,2,"K,SKM"
48173,6,"K,SKR"
48173,3,"Q,SKR"
48173,8,"SKK,SKZ"
05715,3,"SK,CGQ"
05652,3,"K,JWN"
84214,3,"K,SNN"
10385,3,"DD,GNZ"
88183,2,"T,GHF"
88183,3,"TT,GHF"
88183,5,"TT,GHL"
45016,5,"SQD,MLB"
45016,2,"DD,LMC"
55015,6,"K,TJZ"
32090,3,"Q,APC"
33175,1,"QQ,OAQ"
14119,6,"K,DPP"
62128,8,"S13,APY"
10354,8,"K,BJP"
98254,2,"TT,CSX"
31061,4,"SK,HNS"
43179,6,"SDD,ZRF"
43120,7,"K,JZS"
43120,4,"K,JZN"
98254,4,"K,SUP"
43131,3,"SK,EVG"
05533,7,"SQQ,IFU"
10297,3,"DD,QJM"
46005,1,"DD,WFG"
11133,1,"K,PYY"
04108,3,"K,GUJ"
04108,4,"QQ,HOZ"
46005,2,"K,WFG"
78013,7,"D,URL"
14119,3,"K,GXG"
71023,1,"K,QSG"
71023,3,"SK,KPN"
10308,4,"K,AIL"
06184,2,"K,BBN"
53012,1,"QQ,JVO"
03099,1,"K,HCI"
05711,8,"QQ,BAQ"
29071,1,"QQ,NCG"
29071,2,"K,NCO"
53012,3,"K,JVO"
29069,4,"K,HHR"
10308,14,"QQ,AIO"
13060,10,"K,CQC"
95156,4,"K,KSF"
10308,12,"K,AIW"
93732,3,"QTT,DEE"
93790,1,"T,CLA"
93790,2,"Q,SUP"
93790,3,"TT,SUP"
33175,2,"QQ,QCJ"
83852,4,"TT,NXE"
83852,5,"Q,NFM"
33175,3,"SK,QCJ"
44607,5,"QQ,BJP"
44607,7,"QQ,BAG"
50144,6,"SQQ,LVF"
33150,1,"Q,URJ"
50141,7,"QQ,CQC"
95178,1,"T,WJU"
95178,3,"T,WKD"
44693,7,"K,BJP"
98080,7,"QT,APH"
10308,2,"QQ,AIM"
21041,6,"DD,HRS"
25090,4,"K,NIH"
05622,3,"K,BZA"
50141,5,"SK,CEC"
97384,6,"QTT,UUT"
50146,1,"K,VGZ"
10308,6,"SQQ,AIK"
48129,4,"SK,LXW"
48129,6,"SK,LXX"
93855,3,"Q,XJT"
83796,5,"D,NDX"
95380,5,"TT,SCX"
93388,5,"Q,NJU"
43154,5,"QQ,BAQ"
43154,6,"QQ,BAM"
44673,3,"SK,QCH"
39069,14,"V2,IVX"
